target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3822.74	61.4078	1.51606
FBtr0070872	3389	3185.74	116.517	3.45182
FBtr0070873	3368	3164.74	676.765	20.1822
FBtr0340032	3557	3353.74	31.6171	0.889737
FBtr0309849	1730	1526.74	78.2403	4.83654
FBtr0309851	1933	1729.74	90.1257	4.91742
FBtr0309850	1813	1609.74	17.0725	1.00095
FBtr0309848	2040	1836.74	150.397	7.72791
FBtr0309846	1745	1541.74	330.042	20.2036
FBtr0309847	1395	1191.74	1111.53	88.0253
FBtr0309852	1525	1321.74	44.5964	3.18437
FBtr0072826	3804	3600.74	639.174	16.7532
FBtr0072827	3691	3487.74	96.8258	2.62009
FBtr0310157	1118	914.738	0	0
FBtr0088052	1136	932.738	82.031	8.30017
FBtr0088051	1139	935.738	870.169	87.7644
FBtr0310159	1172	968.738	0	0
FBtr0088053	1203	999.738	18.8001	1.77477
FBtr0346717	952	748.738	0	0
FBtr0079891	845	641.738	106	15.589
FBtr0344474	4299	4095.74	38.8799	0.895905
FBtr0083532	4514	4310.74	403.828	8.84126
FBtr0346161	5221	5017.74	21.2917	0.400471
FBtr0071041	1576	1372.74	216	14.8503
FBtr0077956	2701	2497.74	1334	50.4055
FBtr0089196	4376	4172.74	1066.42	24.1198
FBtr0347405	3401	3197.74	541.174	15.9721
FBtr0347406	2744	2540.74	564.297	20.9612
FBtr0347403	2371	2167.74	1345.23	58.5678
FBtr0347404	2744	2540.74	564.297	20.9612
FBtr0310632	2638	2434.74	3552.79	137.717
FBtr0073263	2209	2005.74	4242.21	199.612
FBtr0303268	3265	3061.74	2	0.0616497
FBtr0304931	2190	1986.74	13.049	0.619879
FBtr0080956	2066	1862.74	288.951	14.64
FBtr0072921	1840	1636.74	140.731	8.11481
FBtr0344219	1882	1678.74	36.8008	2.06892
FBtr0072922	1721	1517.74	0	0
FBtr0072923	1903	1699.74	153.469	8.52131
FBtr0100373	1180	976.738	2	0.193251
FBtr0303785	1569	1365.74	0	0
FBtr0088376	2115	1911.74	67.952	3.35461
FBtr0339111	468	271.748	0	0
FBtr0071106	2301	2097.74	1	0.0449902
FBtr0339337	2506	2302.74	12.3785	0.507332
FBtr0088710	2464	2260.74	472.622	19.7302
FBtr0302954	501	302.642	0	0
FBtr0110781	1248	1044.74	0	0
FBtr0075989	3238	3034.74	138.5	4.30722
FBtr0330069	3238	3034.74	138.5	4.30722
FBtr0304717	947	743.738	16	2.03034
FBtr0339472	2820	2616.74	44.0715	1.58952
FBtr0339471	2953	2749.74	385.928	13.246
FBtr0085326	4103	3899.74	459	11.1083
FBtr0336764	4091	3887.74	0	0
FBtr0073651	2625	2421.74	39	1.51987
FBtr0334905	538	338.133	25	6.97785
FBtr0083540	1549	1345.74	7	0.490915
FBtr0342877	3401	3197.74	1951.77	57.6042
FBtr0074647	2146	1942.74	615.233	29.8878
FBtr0273265	1700	1496.74	1	0.0630555
FBtr0073923	2894	2690.74	1797	63.0298
FBtr0091899	413	222.337	0	0
FBtr0078309	627	425.001	276	61.2897
FBtr0339941	1519	1315.74	0	0
FBtr0071880	1017	813.738	11	1.27578
FBtr0076069	2148	1944.74	2	0.0970595
FBtr0085482	1927	1723.74	204	11.1693
FBtr0074901	627	425.001	118.35	26.2813
FBtr0344084	1696	1492.74	445.171	28.1457
FBtr0074900	970	766.738	1846.87	227.331
FBtr0340479	3542	3338.74	27.9539	0.790185
FBtr0071410	3153	2949.74	17.4955	0.559774
FBtr0071412	2528	2324.74	0	0
FBtr0307382	2729	2525.74	44.2004	1.65161
FBtr0307381	2425	2221.74	0	0
FBtr0307380	1373	1169.74	0	0
FBtr0071411	2440	2236.74	68.3502	2.88399
FBtr0070980	854	650.738	7593.89	1101.35
FBtr0345292	830	626.738	267.358	40.2603
FBtr0070981	941	737.738	391.559	50.0915
FBtr0070982	1100	896.738	16.2918	1.71464
FBtr0070983	837	633.738	72.9017	10.8567
FBtr0073693	1323	1119.74	478	40.2884
FBtr0074984	507	308.499	0	0
FBtr0073034	1539	1335.74	184	13.0007
FBtr0081676	887	683.738	3	0.414096
FBtr0087334	1782	1578.74	253.999	15.1841
FBtr0113381	1199	995.738	0	0
FBtr0087113	4051	3847.74	0	0
FBtr0113380	4060	3856.74	775.769	18.9837
FBtr0113379	4109	3905.74	474.308	11.4611
FBtr0087112	5876	5672.74	285.923	4.75691
FBtr0073899	730	527.073	130	23.2778
FBtr0071302	691	488.341	30.1497	5.82678
FBtr0333472	694	491.341	5.85027	1.12373
FBtr0086024	2202	1998.74	1	0.0472186
FBtr0083823	410	219.605	771.891	331.728
FBtr0344285	401	211.942	46.1091	20.5323
FBtr0087045	794	590.881	26.9828	4.30978
FBtr0085360	1103	899.738	103	10.8041
FBtr0073298	2744	2540.74	0	0
FBtr0307050	1716	1512.74	0	0
FBtr0343573	1987	1783.74	0	0
FBtr0076736	920	716.738	114	15.0111
FBtr0073200	1468	1264.74	1	0.0746223
FBtr0073199	2882	2678.74	0	0
FBtr0333678	4702	4498.74	535.345	11.2308
FBtr0089141	4575	4371.74	3762.66	81.2287
FBtr0344997	1302	1098.74	0	0
FBtr0344998	1204	1000.74	35	3.30078
FBtr0332711	683	480.454	2.82564	0.555052
FBtr0078353	710	507.225	139.174	25.8957
FBtr0080163	761	557.947	5116.35	865.439
FBtr0340226	807	603.846	2049.44	320.316
FBtr0080164	798	594.881	1592.2	252.603
FBtr0114603	2237	2033.74	382.744	17.7616
FBtr0345720	2361	2157.74	363.007	15.8776
FBtr0089948	2222	2018.74	0	0
FBtr0329952	2603	2399.74	41.6869	1.63947
FBtr0076344	1975	1771.74	23.2975	1.24102
FBtr0113159	1528	1324.74	47.4631	3.38139
FBtr0113158	2067	1863.74	605.569	30.6653
FBtr0345695	2133	1929.74	701.723	34.3191
FBtr0114600	1246	1042.74	76.895	6.95972
FBtr0085057	1025	821.738	0	0
FBtr0074036	696	493.341	128	24.4868
FBtr0086109	1829	1625.74	236	13.7003
FBtr0088163	911	707.738	1	0.133351
FBtr0301083	3920	3716.74	163.725	4.1574
FBtr0301084	3372	3168.74	53.2752	1.58675
FBtr0113387	4145	3941.74	565.238	13.5336
FBtr0084928	3476	3272.74	329.836	9.51166
FBtr0084927	4081	3877.74	2068.67	50.3479
FBtr0113388	4186	3982.74	0.000157079	3.72225e-06
FBtr0113386	4189	3985.74	1.99666	0.0472785
FBtr0113384	4581	4377.74	193.728	4.17649
FBtr0336451	3397	3193.74	0	0
FBtr0113385	2634	2430.74	0	0
FBtr0336452	3844	3640.74	1203.53	31.1988
FBtr0112930	5203	4999.74	59.669	1.12634
FBtr0088597	5229	5025.74	621.974	11.68
FBtr0332998	1827	1623.74	0	0
FBtr0304798	5839	5635.74	2411.36	40.3812
FBtr0084433	2827	2623.74	95.9828	3.45256
FBtr0332427	3278	3074.74	1795.02	55.0972
FBtr0301700	4064	3860.74	3.26753	0.0798764
FBtr0300809	4061	3857.74	8.57398	0.209758
FBtr0300808	2019	1815.74	7.89096	0.410153
FBtr0452100	402	212.696	0	0
FBtr0452099	487	289.396	0	0
FBtr0080853	786	582.881	0	0
FBtr0305564	811	607.846	2	0.310531
FBtr0113259	1868	1664.74	4.67623	0.265106
FBtr0084017	1512	1308.74	456.324	32.9071
FBtr0445729	4048	3844.74	759	18.6313
FBtr0445730	5632	5428.74	0	0
FBtr0445732	2458	2254.74	14	0.586004
FBtr0445731	2385	2181.74	0	0
FBtr0452128	1886	1682.74	4.24225	0.23793
FBtr0072346	2091	1887.74	124.606	6.22969
FBtr0306137	3922	3718.74	7104.39	180.302
FBtr0304625	2233	2029.74	713.988	33.1986
FBtr0111143	2233	2029.74	7123.01	331.202
FBtr0332891	2392	2188.74	50.7547	2.18852
FBtr0074758	2455	2251.74	0	0
FBtr0332890	2801	2597.74	5.24533	0.190566
FBtr0334915	1683	1479.74	0	0
FBtr0299903	1064	860.738	344.979	37.826
FBtr0336924	1050	846.738	4.02147	0.448234
FBtr0111134	1077	873.738	0	0
FBtr0289963	781	577.881	0	0
FBtr0075137	2418	2214.74	662.559	28.2339
FBtr0333698	1617	1413.74	40.4414	2.69977
FBtr0070156	555	354.547	2276.27	605.925
FBtr0070158	592	390.618	145.596	35.1776
FBtr0345321	493	295.223	1004.25	321.039
FBtr0070155	568	367.146	7627.44	1960.69
FBtr0070157	535	335.271	182.443	51.3571
FBtr0340668	963	759.738	0	0
FBtr0345011	1760	1556.74	0	0
FBtr0345802	2027	1823.74	47.1656	2.4408
FBtr0086185	1911	1707.74	346.834	19.1677
FBtr0342928	612	410.22	184.295	42.3999
FBtr0081192	471	274.441	143.705	49.419
FBtr0071830	1710	1506.74	2	0.125274
FBtr0074655	2115	1911.74	378	18.6609
FBtr0082981	1173	969.738	47.5104	4.62384
FBtr0334959	703	500.283	136.49	25.7485
FBtr0333931	2549	2345.74	0	0
FBtr0084032	3492	3288.74	868.5	24.9235
FBtr0330049	3492	3288.74	868.5	24.9235
FBtr0083597	2040	1836.74	27	1.38735
FBtr0083278	2126	1922.74	3040	149.218
FBtr0070557	487	289.396	1	0.32612
FBtr0344291	631	428.902	20.426	4.49463
FBtr0290211	640	437.775	12.0039	2.58785
FBtr0083632	970	766.738	255.043	31.3931
FBtr0088115	1309	1105.74	139.064	11.8694
FBtr0332420	946	742.738	117.159	14.887
FBtr0345503	692	489.341	16.1477	3.11435
FBtr0071929	569	368.125	7.8523	2.01313
FBtr0110839	668	465.563	374	75.8162
FBtr0077903	1436	1232.74	288	22.0491
FBtr0071459	1234	1030.74	0	0
FBtr0085681	1960	1756.74	4406.06	236.708
FBtr0085682	1921	1717.74	5892.98	323.778
FBtr0085683	663	460.644	362.963	74.3646
FBtr0344740	1853	1649.74	0	0
FBtr0078953	2412	2208.74	370.728	15.8409
FBtr0300611	1701	1497.74	1164.55	73.3821
FBtr0334906	1701	1497.74	9.66429	0.60898
FBtr0076531	1261	1057.74	68.2495	6.08962
FBtr0100531	880	676.738	184.764	25.7672
FBtr0100532	1087	883.738	549.213	58.6525
FBtr0305334	443	248.801	0	0
FBtr0303085	571	370.082	0	0
FBtr0303086	519	319.886	0	0
FBtr0303084	630	427.952	2	0.441067
FBtr0076475	3139	2935.74	0	0
FBtr0345600	3384	3180.74	591	17.5359
FBtr0343591	1988	1784.74	15017.9	794.15
FBtr0073387	2045	1841.74	1260.14	64.5742
FBtr0445174	2221	2017.74	3.02924	0.14169
FBtr0089051	1531	1327.74	0	0
FBtr0304658	4581	4377.74	4.35714	0.0939335
FBtr0083740	3546	3342.74	20.0812	0.566965
FBtr0083739	5278	5074.74	14.5617	0.270811
FBtr0071007	640	437.775	18.224	3.92882
FBtr0071008	635	432.877	142.776	31.1286
FBtr0081101	450	255.127	0	0
FBtr0080923	1041	837.738	16	1.80252
FBtr0085618	607	405.315	1	0.23285
FBtr0344112	8332	8128.74	3037.18	35.2628
FBtr0301618	8144	7940.74	2599.21	30.8922
FBtr0344465	8207	8003.74	1514.4	17.8573
FBtr0301619	8270	8066.74	7574.22	88.6153
FBtr0082127	720	517.195	6	1.09488
FBtr0330419	9928	9724.74	1312.63	12.7389
FBtr0330414	9853	9649.74	18.3531	0.1795
FBtr0330416	3938	3734.74	228.468	5.77344
FBtr0330418	9853	9649.74	18.3531	0.1795
FBtr0333021	9829	9625.74	1321	12.952
FBtr0330417	9481	9277.74	9940.68	101.121
FBtr0330420	9841	9637.74	29.5196	0.289071
FBtr0339756	2542	2338.74	296.145	11.9506
FBtr0087259	2557	2353.74	763.855	30.6282
FBtr0087260	2557	2353.74	0	0
FBtr0334154	1086	882.738	0	0
FBtr0082485	1070	866.738	0	0
FBtr0073409	2272	2068.74	33	1.50549
FBtr0346273	2414	2210.74	0	0
FBtr0481631	821	617.81	0	0
FBtr0331220	9009	8805.74	11.0736	0.118684
FBtr0331219	2907	2703.74	8.76668	0.306013
FBtr0290295	2768	2564.74	2.63089	0.0968119
FBtr0331216	9188	8984.74	14.7108	0.154525
FBtr0301972	783	579.881	0.409838	0.0667025
FBtr0331221	8906	8702.74	0	0
FBtr0331218	9186	8982.74	12.672	0.133139
FBtr0331217	2882	2678.74	0	0
FBtr0331222	763	559.947	0.736217	0.124087
FBtr0081205	1742	1538.74	467	28.6432
FBtr0070447	1762	1558.74	280.506	16.984
FBtr0077223	2367	2163.74	440.012	19.1924
FBtr0345902	1881	1677.74	0	0
FBtr0077086	1796	1592.74	0	0
FBtr0088609	2597	2393.74	262	10.3298
FBtr0070652	3785	3581.74	904	23.8201
FBtr0070092	1950	1746.74	3061.39	165.409
FBtr0070093	2123	1919.74	560.608	27.5604
FBtr0301060	2277	2073.74	0	0
FBtr0301058	2928	2724.74	0	0
FBtr0332426	3244	3040.74	4.87487	0.151305
FBtr0301059	2193	1989.74	10.1251	0.480257
FBtr0301061	2471	2267.74	0	0
FBtr0346727	1248	1044.74	1	0.0903362
FBtr0331545	1136	932.738	185.937	18.8137
FBtr0331544	1373	1169.74	41.1957	3.32378
FBtr0076103	1247	1043.74	3259.83	294.762
FBtr0076104	1237	1033.74	122.491	11.1831
FBtr0076105	1181	977.738	44.5512	4.30037
FBtr0332871	1195	991.738	0	0
FBtr0100678	2037	1833.74	2.5	0.128668
FBtr0081831	1275	1071.74	0	0
FBtr0305600	2804	2600.74	14	0.508043
FBtr0075091	1614	1410.74	149.2	9.98142
FBtr0345812	1884	1680.74	49.7996	2.79637
FBtr0302924	2975	2771.74	8.39898	0.285985
FBtr0302925	3994	3790.74	168.601	4.19764
FBtr0113334	894	690.738	26	3.55246
FBtr0337091	4576	4372.74	392.533	8.4721
FBtr0080874	3796	3592.74	14.0282	0.368506
FBtr0080873	3534	3330.74	8.56003e-06	2.42551e-07
